"search","socialmedia","termsconditions","age","behavior","interest","commercial","awareness","concern","regulation","comfort","F_internetuse","F_termsconditions","F_age","F_behavior","F_interest","F_commercial","F_awareness","F_concern","F_regulation","F_comfort","F_nationality"
4,5,3,65,2,2,3,4,2,4,3.66666666666667,"light_user","don't read","55+","agree","agree","disagree","disagree","agree","disagree","uncomfortable","BELGIUM"
1,1,3,29,1,1,3,1,4,2,2,"heavy_user","don't read","25-39","agree","agree","disagree","agree","disagree","agree","comfortable","BELGIUM"
2,2,2,61,3,3,2,3,3,2,2.66666666666667,"light_user","read","55+","disagree","disagree","agree","disagree","disagree","agree","comfortable","BELGIUM"
4,1,2,26,3,4,2,3,4,2,2,"light_user","read","25-39","disagree","disagree","agree","disagree","disagree","agree","comfortable","BELGIUM"
1,1,3,27,3,2,2,2,4,2,2,"heavy_user","don't read","25-39","disagree","agree","agree","agree","disagree","agree","comfortable","BELGIUM"
1,1,3,32,2,3,3,2,2,2,3,"heavy_user","don't read","25-39","agree","disagree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,1,37,3,2,3,2,3,3,2,"heavy_user","read","25-39","disagree","agree","disagree","agree","disagree","disagree","comfortable","BELGIUM"
1,1,2,45,2,2,3,2,2,2,2,"heavy_user","read","40-54","agree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
1,4,3,24,1,3,2,2,2,2,3,"light_user","don't read","15-24","agree","disagree","agree","agree","agree","agree","uncomfortable","NETHERLANDS"
1,4,3,23,2,4,4,2,1,2,3,"light_user","don't read","15-24","agree","disagree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
2,2,3,24,2,2,2,2,1,2,3,"light_user","don't read","15-24","agree","agree","agree","agree","agree","agree","uncomfortable","FRANCE"
2,3,3,28,2,2,2,2,2,2,3,"light_user","don't read","25-39","agree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
2,2,3,31,2,2,1,2,1,2,3,"light_user","don't read","25-39","agree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
1,2,1,18,3,2,2,1,3,2,2,"light_user","read","15-24","disagree","agree","agree","agree","disagree","agree","comfortable","BELGIUM"
1,2,2,43,2,2,3,2,1,2,2.33333333333333,"light_user","read","40-54","agree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
1,2,3,53,2,2,2,2,2,2,3,"light_user","don't read","40-54","agree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
1,5,1,62,3,1,3,1,1,1,4,"light_user","read","55+","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,2,35,3,1,1,2,1,1,1,"heavy_user","read","25-39","disagree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
1,4,3,54,3,2,4,3,3,1,2.33333333333333,"light_user","don't read","40-54","disagree","agree","disagree","disagree","disagree","agree","comfortable","BELGIUM"
2,5,1,60,3,1,3,1,2,1,3,"light_user","read","55+","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,3,60,2,1,3,1,3,2,2,"heavy_user","don't read","55+","agree","agree","disagree","agree","disagree","agree","comfortable","BELGIUM"
2,2,1,56,2,1,2,3,1,1,3,"light_user","read","55+","agree","agree","agree","disagree","agree","agree","uncomfortable","BELGIUM"
3,3,2,44,3,2,3,2,1,3,3,"light_user","read","40-54","disagree","agree","disagree","agree","agree","disagree","uncomfortable","BELGIUM"
5,5,3,48,3,2,4,3,2,1,2.66666666666667,"light_user","don't read","40-54","disagree","agree","disagree","disagree","agree","agree","comfortable","BELGIUM"
1,1,3,35,4,2,4,2,1,2,3,"heavy_user","don't read","25-39","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,4,1,63,3,1,3,2,2,2,2,"light_user","read","55+","disagree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
1,1,3,56,2,2,4,1,1,1,3.33333333333333,"heavy_user","don't read","55+","agree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
2,1,1,55,4,4,1,2,1,2,4,"light_user","read","55+","disagree","disagree","agree","agree","agree","agree","uncomfortable","BELGIUM"
1,5,3,24,4,2,3,2,2,2,3.33333333333333,"light_user","don't read","15-24","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
2,3,3,68,3,3,3,3,4,3,3.66666666666667,"light_user","don't read","55+","disagree","disagree","disagree","disagree","disagree","disagree","uncomfortable","BELGIUM"
2,3,3,45,1,2,1,1,1,1,2.66666666666667,"light_user","don't read","40-54","agree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
1,3,3,54,3,4,1,1,2,2,2,"light_user","don't read","40-54","disagree","disagree","agree","agree","agree","agree","comfortable","BELGIUM"
1,1,3,21,3,1,2,1,2,1,2.33333333333333,"heavy_user","don't read","15-24","disagree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
